epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,61.1293,0.75912,1.3939,1.1185,0.75158,0.53031,0.68382,0.47457,1.67653,1.5601,1.3703,2.82082e-05,2.82082e-05,2.82082e-05
40,62.6477,0.43999,1.36357,1.02969,0.75158,0.53031,0.68382,0.47457,1.67653,1.5601,1.3703,2.84911e-05,2.84911e-05,2.84911e-05
41,64.1247,0.7771,1.01253,1.21084,0.74501,0.53333,0.68375,0.45608,1.69262,1.63868,1.38499,2.87504e-05,2.87504e-05,2.87504e-05
42,65.5783,0.84996,1.4962,1.3495,0.74501,0.53333,0.68375,0.45608,1.69262,1.63868,1.38499,2.89861e-05,2.89861e-05,2.89861e-05
43,67.2414,1.02333,1.68907,1.3786,0.58999,0.54457,0.68176,0.44743,1.71233,1.69563,1.40564,2.91983e-05,2.91983e-05,2.91983e-05
44,69.6231,0.96008,1.56811,1.37153,0.58999,0.54457,0.68176,0.44743,1.71233,1.69563,1.40564,2.93869e-05,2.93869e-05,2.93869e-05
45,71.3924,0.78321,1.11903,1.23211,0.74505,0.51667,0.61876,0.39052,1.7342,1.7542,1.41988,2.9552e-05,2.9552e-05,2.9552e-05
46,72.9771,0.78308,0.75787,1.08091,0.74505,0.51667,0.61876,0.39052,1.7342,1.7542,1.41988,2.96935e-05,2.96935e-05,2.96935e-05
47,74.5728,1.07524,1.07921,1.40908,0.74888,0.51667,0.61649,0.35597,1.72442,1.76015,1.41292,2.98114e-05,2.98114e-05,2.98114e-05
48,75.8917,0.76548,0.86494,1.20685,0.74888,0.51667,0.61649,0.35597,1.72442,1.76015,1.41292,2.99058e-05,2.99058e-05,2.99058e-05
49,78.0311,0.56169,0.9232,1.05506,0.76212,0.51667,0.60952,0.35494,1.71762,1.84309,1.41773,2.99766e-05,2.99766e-05,2.99766e-05
50,79.4757,0.84724,0.95718,1.30951,0.76212,0.51667,0.60952,0.35494,1.71762,1.84309,1.41773,3.00238e-05,3.00238e-05,3.00238e-05
51,81.9817,0.71501,0.98147,1.03048,0.79113,0.51618,0.53862,0.29227,1.75552,1.93329,1.4389,3.00475e-05,3.00475e-05,3.00475e-05
52,84.0048,0.5129,0.80766,1.0087,0.79113,0.51618,0.53862,0.29227,1.75552,1.93329,1.4389,3.00476e-05,3.00476e-05,3.00476e-05
53,85.8678,0.71842,0.9662,1.17721,0.79113,0.51618,0.53862,0.29227,1.75552,1.93329,1.4389,3.00242e-05,3.00242e-05,3.00242e-05
54,87.7515,0.73684,0.84057,1.18213,0.8017,0.50996,0.5352,0.27316,1.80405,2.04572,1.45433,2.99772e-05,2.99772e-05,2.99772e-05
55,89.21,0.8069,0.94152,1.20739,0.8017,0.50996,0.5352,0.27316,1.80405,2.04572,1.45433,2.99066e-05,2.99066e-05,2.99066e-05
56,90.9252,1.12222,1.40926,1.32601,0.8017,0.50996,0.5352,0.27316,1.80405,2.04572,1.45433,2.98125e-05,2.98125e-05,2.98125e-05
57,92.5918,0.86371,0.90209,1.28583,0.81282,0.50824,0.52063,0.2617,1.80432,2.12949,1.45897,2.96948e-05,2.96948e-05,2.96948e-05
58,94.1364,0.58353,0.68202,1.01694,0.81282,0.50824,0.52063,0.2617,1.80432,2.12949,1.45897,2.95535e-05,2.95535e-05,2.95535e-05
59,95.9142,0.75983,0.99762,1.2865,0.81282,0.50824,0.52063,0.2617,1.80432,2.12949,1.45897,2.93887e-05,2.93887e-05,2.93887e-05
60,99.8066,0.61989,1.11895,1.1666,0.82718,0.49983,0.52125,0.25813,1.74572,2.15834,1.44151,2.92003e-05,2.92003e-05,2.92003e-05
61,103.62,0.87504,1.07981,1.18161,0.82718,0.49983,0.52125,0.25813,1.74572,2.15834,1.44151,2.89884e-05,2.89884e-05,2.89884e-05
62,111.14,0.86912,0.89453,1.30054,0.82718,0.49983,0.52125,0.25813,1.74572,2.15834,1.44151,2.87529e-05,2.87529e-05,2.87529e-05
63,114.013,0.78872,1.40976,1.09457,0.83514,0.50014,0.52012,0.25465,1.75541,2.21944,1.45103,2.84938e-05,2.84938e-05,2.84938e-05
64,117.481,0.75412,0.86129,1.24364,0.83514,0.50014,0.52012,0.25465,1.75541,2.21944,1.45103,2.82112e-05,2.82112e-05,2.82112e-05
65,120.459,0.77279,0.98093,1.13293,0.83514,0.50014,0.52012,0.25465,1.75541,2.21944,1.45103,2.7905e-05,2.7905e-05,2.7905e-05
66,127.509,0.81179,0.89549,1.24995,0.84599,0.49535,0.52123,0.25255,1.72948,2.28383,1.4444,2.75753e-05,2.75753e-05,2.75753e-05
67,131.381,0.81984,1.17338,1.22749,0.84599,0.49535,0.52123,0.25255,1.72948,2.28383,1.4444,2.7222e-05,2.7222e-05,2.7222e-05
68,134.978,0.66438,0.83332,1.08555,0.84599,0.49535,0.52123,0.25255,1.72948,2.28383,1.4444,2.68451e-05,2.68451e-05,2.68451e-05
69,142.83,0.68223,0.67482,1.17687,0.84179,0.49295,0.51822,0.25613,1.78976,2.35367,1.4745,2.64447e-05,2.64447e-05,2.64447e-05
70,146.553,0.68579,0.63574,1.01312,0.84179,0.49295,0.51822,0.25613,1.78976,2.35367,1.4745,2.60207e-05,2.60207e-05,2.60207e-05
71,150.138,0.8514,0.84767,1.23232,0.84179,0.49295,0.51822,0.25613,1.78976,2.35367,1.4745,2.55731e-05,2.55731e-05,2.55731e-05
72,157.948,0.84424,0.98142,1.13089,0.84434,0.49267,0.52438,0.25517,1.85259,2.4373,1.52369,2.5102e-05,2.5102e-05,2.5102e-05
73,161.748,0.76965,1.05395,1.15796,0.84434,0.49267,0.52438,0.25517,1.85259,2.4373,1.52369,2.46073e-05,2.46073e-05,2.46073e-05
74,164.324,0.83044,0.75497,1.13756,0.84434,0.49267,0.52438,0.25517,1.85259,2.4373,1.52369,2.40891e-05,2.40891e-05,2.40891e-05
75,167.711,0.67014,0.63313,1.19808,0.84557,0.49402,0.52597,0.25526,1.84711,2.41843,1.53303,2.35472e-05,2.35472e-05,2.35472e-05
76,169.551,0.56998,0.75586,1.05219,0.84557,0.49402,0.52597,0.25526,1.84711,2.41843,1.53303,2.29819e-05,2.29819e-05,2.29819e-05
77,171.338,0.73012,0.71351,1.19079,0.84557,0.49402,0.52597,0.25526,1.84711,2.41843,1.53303,2.23929e-05,2.23929e-05,2.23929e-05
78,172.843,0.61233,0.95751,1.08578,0.70872,0.39957,0.43488,0.24516,1.89909,2.45372,1.56472,2.17805e-05,2.17805e-05,2.17805e-05
